iter	Passed	Remaining
0	1	1069
1	1	736
2	1	621
3	2	543
4	2	506
5	2	460
6	3	440
7	3	428
8	3	412
9	4	412
10	4	400
11	4	392
12	5	382
13	5	372
14	5	364
15	5	356
16	6	358
17	6	355
18	6	350
19	7	345
20	7	342
21	7	338
22	7	335
23	8	332
24	8	333
25	8	330
26	9	329
27	9	326
28	9	326
29	10	326
30	10	323
31	10	320
32	10	318
33	11	319
34	11	317
35	11	315
36	12	312
37	12	311
38	12	310
39	12	309
40	13	311
41	13	312
42	13	311
43	14	310
44	14	308
45	14	306
46	15	307
47	15	305
48	15	303
49	15	302
50	16	300
51	16	298
52	16	297
53	16	296
54	17	295
55	17	294
56	17	293
57	18	293
58	18	294
59	18	294
60	19	295
61	19	294
62	19	293
63	20	292
64	20	291
65	20	290
66	20	289
67	21	289
68	21	290
69	21	289
70	22	288
71	22	288
72	22	288
73	23	287
74	23	288
75	23	289
76	24	288
77	24	288
78	24	286
79	24	286
80	25	286
81	25	286
82	25	284
83	26	283
84	26	284
85	26	283
86	26	283
87	27	282
88	27	281
89	27	281
90	28	281
91	28	281
92	28	281
93	29	281
94	29	280
95	29	279
96	29	278
97	30	278
98	30	277
99	30	277
100	31	276
101	31	275
102	31	275
103	31	274
104	32	274
105	32	274
106	32	273
107	33	273
108	33	273
109	33	273
110	34	273
111	34	273
112	34	273
113	35	272
114	35	272
115	35	272
116	35	271
117	36	270
118	36	270
119	36	270
120	37	270
121	37	269
122	37	268
123	37	268
124	38	268
125	38	268
126	38	267
127	39	266
128	39	266
129	39	265
130	40	265
131	40	265
132	40	264
133	40	264
134	41	264
135	41	264
136	41	263
137	42	263
138	42	262
139	42	262
140	43	261
141	43	260
142	43	260
143	43	259
144	44	259
145	44	259
146	44	258
147	44	258
148	45	257
149	45	257
150	45	257
151	46	257
152	46	257
153	46	257
154	47	256
155	47	256
156	47	255
157	48	255
158	48	255
159	48	254
160	48	253
161	48	253
162	49	252
163	49	252
164	49	251
165	50	251
166	50	251
167	50	251
168	51	251
169	51	251
170	51	250
171	52	250
172	52	250
173	52	249
174	52	249
175	53	249
176	53	249
177	53	248
178	54	249
179	54	248
180	54	248
181	55	248
182	55	248
183	55	248
184	56	247
185	56	247
186	56	247
187	57	247
188	57	247
189	58	247
190	58	247
191	58	246
192	58	246
193	59	245
194	59	245
195	59	245
196	60	244
197	60	244
198	60	244
199	61	244
200	61	244
201	61	243
202	61	243
203	62	243
204	62	242
205	62	242
206	63	242
207	63	241
208	63	241
209	64	241
210	64	241
211	64	241
212	65	241
213	65	240
214	65	240
215	66	239
216	66	239
217	66	239
218	67	239
219	67	238
220	67	238
221	68	238
222	68	238
223	68	237
224	68	237
225	69	237
226	69	236
227	69	236
228	70	236
229	70	235
230	70	235
231	71	235
232	71	234
233	71	234
234	71	234
235	72	233
236	72	233
237	72	233
238	73	232
239	73	232
240	73	232
241	74	232
242	74	232
243	74	231
244	75	231
245	75	231
246	75	230
247	75	230
248	76	229
249	76	229
250	76	229
251	77	228
252	77	228
253	77	228
254	77	227
255	78	227
256	78	226
257	78	226
258	78	225
259	79	225
260	79	224
261	79	224
262	79	224
263	80	223
264	80	223
265	80	222
266	80	222
267	81	221
268	81	221
269	81	220
270	81	220
271	82	220
272	82	219
273	82	219
274	82	218
275	83	218
276	83	217
277	83	217
278	84	217
279	84	216
280	84	216
281	84	215
282	85	215
283	85	215
284	85	215
285	86	214
286	86	214
287	86	214
288	87	214
289	87	213
290	87	213
291	87	213
292	88	212
293	88	212
294	88	211
295	88	211
296	89	211
297	89	210
298	89	210
299	90	210
300	90	209
301	90	209
302	90	208
303	91	208
304	91	208
305	91	208
306	92	207
307	92	207
308	92	207
309	92	206
310	93	206
311	93	206
312	93	206
313	94	205
314	94	205
315	94	205
316	94	204
317	95	204
318	95	204
319	95	203
320	96	203
321	96	203
322	96	203
323	97	202
324	97	202
325	97	202
326	98	202
327	98	202
328	99	202
329	99	201
330	99	201
331	100	201
332	100	201
333	101	201
334	101	201
335	101	201
336	102	200
337	102	200
338	102	200
339	103	200
340	103	199
341	103	199
342	104	199
343	104	199
344	104	198
345	104	198
346	105	198
347	105	197
348	105	197
349	106	197
350	106	197
351	106	196
352	107	196
353	107	196
354	107	195
355	108	195
356	108	195
357	108	195
358	109	195
359	109	194
360	109	194
361	110	194
362	110	194
363	110	193
364	111	193
365	111	193
366	111	193
367	112	192
368	112	192
369	112	192
370	113	192
371	113	191
372	113	191
373	114	191
374	114	191
375	114	190
376	115	190
377	115	190
378	115	189
379	116	189
380	116	189
381	116	189
382	117	188
383	117	188
384	117	187
385	118	187
386	118	187
387	118	187
388	119	187
389	119	186
390	119	186
391	120	186
392	120	186
393	120	185
394	121	185
395	121	185
396	121	184
397	122	184
398	122	184
399	122	184
400	122	183
401	123	183
402	123	183
403	123	182
404	124	182
405	124	182
406	124	181
407	124	181
408	125	181
409	125	180
410	125	180
411	126	179
412	126	179
413	126	179
414	126	178
415	127	178
416	127	178
417	127	177
418	127	177
419	128	177
420	128	176
421	128	176
422	129	176
423	129	175
424	129	175
425	130	175
426	130	174
427	130	174
428	130	174
429	131	174
430	131	173
431	132	173
432	132	173
433	132	173
434	133	172
435	133	172
436	133	172
437	133	171
438	134	171
439	134	171
440	134	170
441	135	170
442	135	170
443	135	169
444	136	169
445	136	169
446	136	169
447	137	168
448	137	168
449	137	168
450	138	168
451	138	167
452	138	167
453	139	167
454	139	167
455	139	166
456	140	166
457	140	166
458	140	165
459	141	165
460	141	165
461	141	165
462	142	164
463	142	164
464	143	164
465	143	164
466	143	164
467	144	163
468	144	163
469	144	163
470	145	163
471	145	162
472	145	162
473	146	162
474	146	161
475	146	161
476	146	161
477	147	160
478	147	160
479	148	160
480	148	160
481	148	159
482	149	159
483	149	159
484	149	159
485	150	158
486	150	158
487	150	158
488	150	157
489	151	157
490	151	157
491	152	156
492	152	156
493	152	156
494	152	156
495	153	155
496	153	155
497	153	155
498	154	154
499	154	154
500	154	154
501	155	154
502	155	153
503	155	153
504	156	153
505	156	152
506	156	152
507	157	152
508	157	151
509	157	151
510	158	151
511	158	151
512	158	150
513	159	150
514	159	150
515	159	149
516	160	149
517	160	149
518	160	148
519	160	148
520	161	148
521	161	147
522	161	147
523	162	147
524	162	146
525	162	146
526	163	146
527	163	146
528	163	145
529	164	145
530	164	145
531	164	144
532	165	144
533	165	144
534	165	143
535	165	143
536	166	143
537	166	143
538	166	142
539	167	142
540	167	142
541	167	141
542	168	141
543	168	141
544	168	140
545	169	140
546	169	140
547	169	140
548	170	139
549	170	139
550	170	139
551	170	138
552	171	138
553	171	138
554	171	137
555	171	137
556	172	136
557	172	136
558	172	136
559	173	135
560	173	135
561	173	135
562	173	134
563	174	134
564	174	134
565	174	134
566	175	133
567	175	133
568	175	133
569	175	132
570	176	132
571	176	132
572	176	131
573	177	131
574	177	131
575	177	130
576	177	130
577	178	130
578	178	129
579	178	129
580	179	129
581	179	128
582	179	128
583	180	128
584	180	127
585	180	127
586	180	127
587	181	126
588	181	126
589	181	126
590	181	125
591	181	125
592	182	125
593	182	124
594	182	124
595	182	123
596	183	123
597	183	123
598	183	122
599	183	122
600	184	122
601	184	121
602	184	121
603	184	121
604	185	120
605	185	120
606	185	120
607	185	119
608	186	119
609	186	119
610	186	118
611	186	118
612	186	118
613	187	117
614	187	117
615	187	117
616	188	116
617	188	116
618	188	116
619	188	115
620	188	115
621	189	114
622	189	114
623	189	114
624	189	113
625	190	113
626	190	113
627	190	112
628	190	112
629	191	112
630	191	111
631	191	111
632	191	111
633	191	110
